brand,model,years,curb_weight_kg,notes
"JMC","Boarding (2.0T AT)","2014–наст.","1800","Современный пикап на экспортных рынках, 2.0 л бензин турбо, 6-ст. АКПП"
"JMC","Yuhu / Vigus (2.5 MT, 4WD)","2012–наст.","1925","Среднеразмерный рамный пикап, 2.5 л турбодизель (128 л.с.), полный привод, 6-ст. МКПП. В РФ известен как Ambertruck Work"
"JMC","Yuhu 5 (2.0 AT Classic LX)","2018–наст.","1902","Среднеразмерный пикап, 2.0 л бензин турбо, 6-ст. АКПП, задний привод"
"JMC","Yuhu 7 (2.0T AT, 4WD)","2017–наст.","1885","Улучшенная версия Yuhu с двигателем Ford EcoBoost 2.0 л (220 л.с.), 6-ст. АКПП, полный привод"
"JMC","Grand Avenue (2.3T MT, 4WD)","2023–наст.","2070","Флагманский пикап, 2.3 л турбодизель (177 л.с.), 6-ст. МКПП, полный привод"
"JMC","Grand Avenue (2.3T AT, 4WD)","2023–наст.","2070","Флагманский пикап, 2.3 л турбобензин (245 л.с.), 8-ст. АКПП, полный привод"
"JMC","Yusheng S350 (2.0T, 2WD)","2010–наст.","1822","Классический рамный внедорожник, 2.0 л турбобензин (205 л.с.), задний привод"
"JMC","Yusheng S350 (2.0T, 4WD)","2010–наст.","1937","Классический рамный внедорожник, 2.0 л турбобензин (205 л.с.), полный привод"
"JMC","Teshun / Touring (2.8 TD)","2017–наст.","1920","Лёгкий коммерческий фургон на базе Ford Transit, 2.8 л турбодизель (108 л.с.), 5-ст. МКПП"
"JMC","Carrying (3.5 т)","2023–наст.","2355","Коммерческий развозной фургон, 2.8 л турбодизель (109 л.с.), полная масса 3.5 т"
"JMC","Yuhu EV (360 км, RWD)","2022–наст.","2225","Электрический пикап, 120 кВт, батарея CATL 60.16 кВт·ч, запас хода 360 км (NEDC)"
"JMC","Yuhu EV (Хоппер-стильный)","2022–наст.","2105","Электрический пикап, 120 кВт, батарея 60.16 кВт·ч"
"Kaiyi","X3 (1.5L MT)","2016–наст.","1285","Компактный кроссовер на базе Chery Tiggo 3x, 1.5L (106 л.с.), 5-ст. МКПП"
"Kaiyi","X3 (1.5L CVT)","2016–наст.","1340","Компактный кроссовер, 1.5L (106 л.с.), вариатор CVT"
"Kaiyi","X3 Pro (1.5T CVT)","2020–наст.","1370","Спортивная версия X3, 1.5T (147 л.с.), вариатор CVT 9, масса 1370–1430 кг"
"Kaiyi","X7 Kunlun (1.6T DCT)","2023–наст.","1505","Флагманский кроссовер, 1.6T (186 л.с.), 7-ст. робот DCT, передний привод"
"Kaiyi","X7 Kunlun (2.0T DCT, AWD)","2023–наст.","1650","Флагманский кроссовер, 2.0T (238 л.с.), полный привод, масса 1650–1720 кг"
"Kaiyi","E5 (1.5T CVT)","2018–наст.","1340","Седан C-класса на базе Chery Arrizo 5 Plus, 1.5T (147 л.с.), вариатор CVT 9"
"Kaiyi","i-EA01","2022–наст.","1050","2-местный городской электромобиль (квадрицикл L7), батарея 10.3 кВт·ч, запас хода 150 км"
"Kaiyi","i-EA02","2022–наст.","1180","4-местный городской электромобиль, батарея 15 кВт·ч, запас хода 200 км"
"Kia","K5 (1.6T, FWD)","2021–наст.","1460","Седан среднего размера, заменивший Optima. Масса: 3,218 lbs."
"Kia","Forte (2.0, FWD)","2019–2024","1270","Компактный седан (в Корее — K3). Масса: 2,800 lbs."
"Kia","Rio (1.6, FWD)","2017–2023","1200","Субкомпактный седан и хэтчбек. Масса: 2,645 lbs."
"Kia","Stinger (2.5T, RWD)","2018–2023","1675","Спортседан Gran Turismo. Масса: 3,693 lbs."
"Kia","Stinger GT (3.3T, AWD)","2018–2023","1830","Топ-версия с полным приводом. Масса: 4,035 lbs."
"Kia","K900 (3.3T, AWD)","2019–2020","2030","Флагманский седан (снят с производства в США). Масса: 4,475 lbs."
"Kia","Cadenza (3.3 V6)","2017–2020","1675","Представительский седан (снят с производства). Масса: 3,693 lbs."
"Kia","Soul (2.0, FWD)","2020–наст.","1300","Городской хэтчбек с кроссоверным стилем. Масса: 2,867 lbs."
"Kia","Seltos (2.0, FWD)","2021–наст.","1340","Субкомпактный кроссовер. Масса: 2,954 lbs."
"Kia","Seltos (1.6T, AWD)","2021–наст.","1465","Полноприводная версия с турбомотором. Масса: 3,230 lbs."
"Kia","Sportage (2.5, FWD)","2023–наст.","1530","Компактный кроссовер. Масса: 3,374 lbs."
"Kia","Sportage Hybrid (1.6T, AWD)","2023–наст.","1720","Гибридная полноприводная версия. Масса: 3,793 lbs."
"Kia","Sorento (2.5, FWD)","2021–наст.","1740","Среднеразмерный кроссовер с тремя рядами сидений. Масса: 3,836 lbs."
"Kia","Sorento Hybrid (1.6T, AWD)","2021–наст.","1890","Гибридная версия с полным приводом. Масса: 4,167 lbs."
"Kia","Sorento PHEV (1.6T, AWD)","2022–наст.","2050","Подзаряжаемый гибрид. Масса: 4,519 lbs."
"Kia","Telluride (3.8 V6, FWD)","2020–наст.","1985","Полноразмерный внедорожник с тремя рядами сидений. Масса: 4,376 lbs."
"Kia","Telluride (3.8 V6, AWD)","2020–наст.","2060","Полноприводная версия. Масса: 4,542 lbs."
"Kia","Niro Hybrid (1.6, FWD)","2023–наст.","1430","Гибридный компактный кроссовер. Масса: 3,152 lbs."
"Kia","Niro EV (64.8 кВт·ч)","2023–наст.","1720","Полностью электрическая версия Niro. Масса: 3,792 lbs."
"Kia","EV6 (RWD, 77.4 кВт·ч)","2022–наст.","1940","Электрический кроссовер на платформе E-GMP. Масса: 4,277 lbs."
"Kia","EV6 GT (AWD, 77.4 кВт·ч)","2022–наст.","2185","Заряженная версия с 585 л.с. Масса: 4,817 lbs."
"Kia","EV9 (RWD, 99.8 кВт·ч)","2024–наст.","2545","Полноразмерный электрический внедорожник. Масса: 5,611 lbs."
"Kia","EV9 (AWD, 99.8 кВт·ч)","2024–наст.","2675","Полноприводная версия. Масса: 5,886 lbs."
"Kia","Carnival (3.5 V6, FWD)","2022–наст.","2060","Минивэн с тремя рядами сидений. Масса: 4,542 lbs."
"Koenigsegg","CC8S","2002–2004","1175","Первый серийный гиперкар, 4.7 V8 (655 л.с.), сухая масса"
"Koenigsegg","CCR","2004–2006","1180","Рекордный гиперкар, 4.7 V8 (806 л.с.), сухая масса"
"Koenigsegg","CCX","2006–2010","1180","Версия для США, 4.7 V8 (806 л.с.), сухая масса"
"Koenigsegg","CCXR","2007–2010","1280","Биотопливная версия CCX, 4.8 V8 (1,018 л.с.)"
"Koenigsegg","CCXR Edition","2008","1280","Лимитированная серия CCXR с улучшенной аэродинамикой"
"Koenigsegg","CCXR Trevita","2009–2010","1280","Уникальная версия с алмазным покрытием кузова, 2 экз."
"Koenigsegg","Agera","2011–2013","1290","Преемник CCX, 5.0 V8 (947 л.с.), сухая масса"
"Koenigsegg","Agera R","2011–2014","1330","Биотопливная версия Agera, 5.0 V8 (1,140 л.с.), сухая масса"
"Koenigsegg","One:1","2014","1360","Первый мегакар с соотношением 1:1 (1,360 л.с. / 1,360 кг), сухая масса"
"Koenigsegg","Agera RS","2015–2018","1395","Усовершенствованная версия Agera R (1,160 л.с.), снаряжённая масса"
"Koenigsegg","Regera","2016–2022","1590","Гибридный гиперкар, 1,500 л.с., трансмиссия KDD, снаряжённая масса"
"Koenigsegg","Jesko","2020–наст.","1390","5.0 V8 (1,600 л.с. на E85), снаряжённая масса"
"Koenigsegg","Jesko Absolut","2021–наст.","1390","Версия для максимальной скорости (>500 км/ч), снаряжённая масса"
"Koenigsegg","Gemera","2023–наст.","1850","Четырёхместный Megacar, 2.0L 3-цил. + 3 э/м (1,700 л.с.), снаряжённая масса"
"Koenigsegg","CC850","2023–наст.","1385","Современная интерпретация CC8S с трансмиссией-трансформером, снаряжённая масса"
"KTM","X-Bow Street","2008–наст.","790","Базовая дорожная версия без лобового стекла, 2.0T Audi (240 л.с.), 6-ст. МКПП. Снаряжённая масса: 790 кг."
"KTM","X-Bow Clubsport","2013–наст.","805","Трековая версия с усиленной подвеской и улучшенной аэродинамикой, 2.0T (240 л.с.). Снаряжённая масса: 805 кг."
"KTM","X-Bow Superlight","2009–2012","770","Облегчённая версия Street. Снаряжённая масса: около 770 кг."
"KTM","X-Bow R","2010–н.в.","810","Форсированная версия с двигателем 2.0T (300 л.с.). Сухая масса: 810 кг."
"KTM","X-Bow RR","2013–н.в.","810","Ещё более мощная версия с двигателем 2.0T (360 л.с.). Сухая масса: 810 кг."
"KTM","X-Bow GT","2013–наст.","847","Дорожная версия с лобовым стеклом и боковыми окнами, 2.0T (285 л.с.). Снаряжённая масса: 847 кг."
"KTM","X-Bow GT4","2016–н.в.","825","Гоночный автомобиль для класса GT4, 2.0T (360 л.с.). Снаряжённая масса: 825 кг, сухая: 998 кг."
"KTM","X-Bow GTX","2020–н.в.","1000","Трековый суперкар для класса GT2, 2.5T Audi (600 л.с.). Снаряжённая масса: около 1,000 кг, сухая: 1,048 кг."
"KTM","X-Bow GT2","2022–н.в.","1220","Гоночный автомобиль для класса GT2, омологированная версия GTX. Снаряжённая масса: 1,220 кг, сухая: 1,000 кг."
"KTM","X-Bow GT-XR","2022–н.в.","1130","Дорожная версия с закрытым кузовом-капсулой, 2.5T Audi (493–500 л.с.), 7-ст. DCT. Снаряжённая масса: 1,130–1,250 кг."
"Lada","Granta (седан, 1.6 MT)","2011–наст.","1075","Самый доступной автомобиль. Масса стандартных версий от 1075 кг."
"Lada","Granta Cross (1.6 MT)","2019–наст.","1160","Кросс-версия. Масса от 1125 до 1160 кг в зависимости от комплектации."
"Lada","Granta (бортовой грузовик / фургон)","2014–наст.","1185","Коммерческие версии."
"Lada","Vesta (седан)","2015–наст.","1220","Ключевая модель B+. Масса от 1220 до 1345 кг."
"Lada","Vesta SW (универсал)","2017–наст.","1280","Универсал. Масса от 1280 до 1350 кг."
"Lada","Vesta SW Cross (универсал)","2017–наст.","1280","Кросс-универсал. Масса от 1280 до 1350 кг."
"Lada","Vesta Sport (седан)","2019–2022","1322","Спортивный седан, 1.8 л (145 л.с.). Снят с производства."
"Lada","Vesta Sport SW (универсал)","2025–наст.","1382","Спортивный универсал."
"Lada","Aura (седан)","2024–наст.","1400","Удлинённый бизнес-седан на базе Vesta. Полная масса — 1730 кг."
"Lada","XRAY (хэтчбек)","2015–2022","1190","Компактный хэтчбек. Базовая масса 1190-1250 кг. Снят с производства."
"Lada","XRAY Cross","2018–2022","1295","Кросс-версия XRAY. Масса 1295-1300 кг. Снят с производства."
